번호,사업자명,대표,업종,지역,유효기간 만료일,홈페이지
175,성호티에스(주),김윤식,제조업,경기 화성시,2017-04-13,
176,(주)신우에이엔티,이현주,제조업,경기 안성시,2017-04-13,
177,우주벤텍주식회사,문용석,제조업,부산 사상구,2017-04-13,
178,(주)이노폼,박상은,제조업,전남 장성군,2017-04-13,
179,에스케이종합건설(주),윤상현,건설업,경북 의성군,2017-04-13,
180,(주)삼주,임정봉,제조업,전남 영암군,2017-04-13,
181,주식회사신광씨링,한상민,제조업,광주 서구,2017-04-13,
182,유전공업 주식회사,류재기,제조업,경남 창원시,2017-04-13,
183,(주)다다앤코로넷,최종만,운수업,경기 이천시,2017-04-13,
184,주식회사 미다지,최윤묵,제조업,경기 성남시,2017-04-13,
185,(주)루켄테크놀러지스,안윤태,제조업,경기 이천시,2017-04-13,
186,(주)한주엠비,전경락,제조업,경기 화성시,2017-04-13,
187,중헌메디텍,윤석준,도매및소매업,서울 서초구,2017-04-14,
188,(주)성지공영,방영문,건설업,울산 남구,2017-04-14,
189,주식회사 카라앤케이,김석환,제조업,서울 마포구,2017-04-14,
190,금광스틸주식회사,최선철,제조업,울산 울주군,2017-04-14,
191,(주)이롬토탈서비스,유병훈,도매및소매업,서울 서초구,2017-04-14,
192,주식회사 더비트,김경용,제조업,서울 금천구,2017-04-14,
193,주식회사 솜씨카드,강형석,제조업,서울 성북구,2017-04-14,
194,한신기업(주),이규형,제조업,충북 영동군,2017-04-14,
195,(주)케이아이앤씨,김현우,도매및소매업,서울 용산구,2017-04-14,
196,(주)대우석도,황승연,제조업,충북 진천군,2017-04-14,
197,주식회사 동광테크,정창용,제조업,충남 천안시,2017-04-14,
198,(주)초원환경,양영아,기타,경남 남해군,2017-04-14,
199,(주)다이아몬드 엔터프라이즈,이세욱,도매및소매업,서울 강남구,2017-04-14,
200,주식회사 보명씨앤아이,정태욱,제조업,서울 중구,2017-04-14,
201,(주) 디에이치아이,김효환,제조업,울산 울주군,2017-04-14,
202,(주)켐오일,채홍룡,도매및소매업,서울 마포구,2017-04-14,
203,(주)제네포스,이성호,도매및소매업,서울 용산구,2017-04-14,
204,석원산업(주),양 명 애,운수업,서울 도봉구,2017-04-14,
205,(주)보다테크,임종철,제조업,울산 남구,2017-04-14,
206,(주)엘디네트웍스,전재환,도매및소매업,서울 용산구,2017-04-14,
207,(주)조광항타,노재룡,건설업,서울 서초구,2017-04-14,
208,씨아이지해운(주),김현수,운수업,서울 영등포구,2017-04-14,
209,거성일렉콤(주),박성래,건설업,서울 서초구,2017-04-14,
210,(주)효산자원,김경희,제조업,서울 서초구,2017-04-14,
211,(주)은성레미콘,이호찬,제조업,부산 금정구,2017-04-14,
212,(주)세명이앤씨,섭동현,제조업,충북 청주시,2017-04-14,
213,해광이엔씨(주),조인호,건설업,서울 영등포구,2017-04-14,
214,(주)영스에프엔씨,길신영,제조업,서울 성동구,2017-04-14,
215,(주)가람테크,이인수,제조업,충남 아산시,2017-04-14,
216,(주)마린텐,송정현,도소매업,서울 용산구,2017-04-14,
217,에스티테크(주),김광식,제조업,부산 사하구,2017-04-14,
218,(주)세원코리아,김인성,제조업,충북 청원군,2017-04-14,
219,(주)제이알코어,이혜정,운수업,서울 마포구,2017-04-14,
220,(주)아이티언,김영훈,도소매업,경기 안양시,2017-04-15,
221,(주)재현인텍스,가재민,제조업,경기 광주시,2017-04-15,
222,(주) 유티아이테크,최 철 균,제조업,경기 화성시,2017-04-15,
223,삼양씨푸드(주),이권주,제조업,부산 서구,2017-04-15,
224,삼일에스티(주),김상현,도매및소매업,부산 사상구,2017-04-15,
225,(주)덕화푸드,장석준,제조업,부산 사하구,2017-04-15,
226,(주)보광직물,차순자,제조업,대구 서구,2017-04-15,
227,대성금속(주),김도상,기타,부산 사상구,2017-04-15,
228,지금강(주),김식,제조업,광주 광산구,2017-04-15,
229,(주)더맛있는하루,박진호,도매및소매업,경기 수원시,2017-04-15,
230,(주)씨에스테크,이재선,제조업,충남 천안시,2017-04-15,
231,(주)엠케이씨푸드,정민철,도매및소매업,경기 용인시,2017-04-15,
