번호,사업자명,대표,업종,지역,유효기간 만료일
298,(주)가야데이터,하만정,정보통신,경남 진주시,2019-05-24
299,(주)가온솔루션,손준길,전기전자,경기 화성시,2019-12-20
300,(주)건명테크윈,차성학,환경,경기 용인시,2019-07-21
301,(주)건화티에스,이건우,건설,인천 남동구,2019-03-22
302,(주)경광기업,윤정식,기계금속,광주 광산구,2019-09-18
303,(주)경남실업,김인숙,기계금속,울산 북구,2019-04-06
304,(주)경부금속,김윤구,화학,경남 창원시,2019-03-10
305,(주)경성시스템즈,이천규,S/W,서울 금천구,2019-04-23
306,(주)경성하이테크,신우철,전기전자,경남 김해시,2019-07-20
307,(주)경일엔텍,박찬웅,기계금속,충남 당진시,2019-05-18
308,(주)계문사,류윤현,기타,서울 종로구,2019-10-04
309,(주)고려티티알,김선남,화학,부산 사상구,2019-06-02
310,(주)광운정보,이강석,건설,충북 청주시,2019-07-10
311,(주)광진엔지니어링,정선호,건설,경기 김포시,2019-07-11
312,(주)구성이엔드씨,윤석구,건설,서울 강북구,2019-09-06
313,(주)구일엔지니어링,백승균,전기전자,경북 구미시,2019-12-21
314,(주)국림피앤텍,유병각,기계금속,충남 아산시,2019-11-01
315,(주)국제광엔지니어링,조호현,정보통신,충남 공주시,2019-06-19
316,(주)그린온,조봉제,서비스,경기 안양시,2019-09-08
317,(주)그린웨이브이엔지,오철호,환경,서울 마포구,2019-11-06
318,(주)그린폴,김명기,화학,대전 유성구,2019-02-02
319,(주)그린플로우,송행숙,전기전자,경기 군포시,2019-01-10
320,(주)글로비트,김형수,S/W,제주 제주시,2019-10-09
321,(주)글로지스,김백호,기타,인천 중구,2019-02-18
322,(주)금강씨에스,김광태,기계금속,대구 북구,2019-11-29
323,(주)금영메탈,김애란,기계금속,부산 강서구,2019-10-17
324,(주)금옥테크,장승윤,기계금속,경기 시흥시,2019-11-28
325,(주)금정전통장류 농업회사법인,이정희,식품,전남 영암군,2019-09-26
326,(주)금진식품,송경섭,식품,충남 천안시,2019-05-25
327,(주)기남금속,박동현,기계금속,경북 경산시,2019-03-15
328,(주)기성,기형도,기계금속,전남 순천시,2019-03-02
329,(주)기영텍스,김인환,섬유,대구 달서구,2019-01-21
330,(주)기프트엔,석봉상,기타,서울 강남구,2019-07-13
331,(주)기현시스템,박경화,전기전자,울산 북구,2019-04-06
332,(주)김포산업,방의규,기계금속,경기 김포시,2019-11-30
333,(주)나노스,한영욱,환경,인천 서구,2019-09-04
334,(주)나노아이티,하은민,정보통신,대구 수성구,2019-06-14
335,(주)나눔,박진철,기타,전남 장성군,2019-04-17
336,(주)나래푸드텍,정만현,식품,경기 이천시,2019-10-27
337,(주)나비드,유용규,섬유,경기 용인시,2019-04-04
338,(주)나이츠넷,이용현,정보통신,서울 마포구,2019-10-04
339,(주)남해수산,김정태,식품,서울 강서구,2019-07-04
340,(주)내외,여찬구,기타,경기 파주시,2019-03-28
341,(주)내츄럴스푸드,송용진,식품,충북 음성군,2019-03-13
342,(주)네고팩,이보영,기타,경기 화성시,2019-04-24
343,(주)네오게임즈,박동우,S/W,서울 마포구,2019-12-07
344,(주)네오스라이트,황철현,전기전자,경기 안양시,2019-02-28
345,(주)넥스턴,정영화,기계금속,경기 용인시,2019-06-16
346,(주)느티나무의사랑,정선희,섬유,부산 부산진구,2019-04-10
347,(주)늘찬,김종국,식품,광주 북구,2019-08-03
348,(주)다온에스디,이수진,건설,서울 용산구,2019-07-11
349,(주)다원에스디에스,황명준,기계금속,경북 칠곡군,2019-10-16
350,(주)다윗소프트,이찬주,서비스,인천 연수구,2019-11-21
351,(주)닷밀,정해운,S/W,서울 서대문구,2019-07-31
352,(주)대덕이미지,김국겸,기계금속,대전 유성구,2019-08-01
353,(주)대덕정밀,조대식,기계금속,대전 유성구,2019-06-23
354,(주)대립,도명환,기계금속,부산 강서구,2019-07-27
355,(주)대산기계,심재문,기계금속,경기 시흥시,2019-06-08
356,(주)대산케미텍,곽창기,기타,경기 광주시,2019-10-04
357,(주)대서엔지니어링,지종필,건설,서울 구로구,2019-01-24
358,(주)대성엔지니어링,박대성,기계금속,대구 달서구,2019-11-24
359,(주)대성정공,이기출,기계금속,경기 파주시,2019-06-08
360,(주)대성종합열처리,박종규,기계금속,경남 의령군,2019-09-04
361,(주)대신환경기술,전성훈,환경,경기 용인시,2019-03-18
362,(주)대양하이테크,강재순,화학,경기 시흥시,2019-10-24
363,(주)대영벤드,최원보,기계금속,경기 김포시,2019-11-02
364,(주)대우경금속,김도연,기타,대구 달성군,2019-04-13
365,(주)대원콘크리트,전성환,기타,전북 군산시,2019-11-24
366,(주)대주메디테크엔지니어링,김종숙,바이오,서울 중랑구,2019-07-10
367,(주)대진기계,배병찬,기계금속,경북 구미시,2019-01-04
368,(주)대진알미늄,박재근,기타,서울 금천구,2019-11-01
369,(주)대창중기계,성희주,기타,부산 강서구,2019-04-26
370,(주)대한식품,한윤경,식품,전남 나주시,2019-11-24
371,(주)대한엔지니어링,김정완,건설,전남 여수시,2019-10-03
372,(주)대한이앤아이,구익순,전기전자,전남 화순군,2019-12-05
373,(주)대한테크,문현철,기계금속,경기 안산시,2019-05-25
374,(주)대화연료펌프,유동옥,기계금속,인천 연수구,2019-10-24
375,(주)더베러푸드,김영호,식품,경기 파주시,2019-06-22
376,(주)덕명,안영문,기계금속,경기 화성시,2019-04-10
377,(주)덕창산업,박종학,기계금속,경기 안산시,2019-03-14
378,(주)도흥엔지니어링,김병효,서비스,서울 금천구,2019-12-27
379,(주)동경기전,신귀철,기계금속,부산 사하구,2019-11-17
380,(주)동광엔비화성,박병국,화학,경기 화성시,2019-04-10
381,(주)동남,이병균,전기전자,경기 안성시,2019-11-30
382,(주)동남사,민권식,기타,충남 금산군,2019-10-04
383,(주)동부,장석기,기타,경기 안성시,2019-07-06
384,(주)동부그린환경,정오용,환경,전남 순천시,2019-10-12
385,(주)동산코리아,이창엽,기타,경기 안성시,2019-04-20
386,(주)동서제관,장승익,기계금속,경기 양주시,2019-10-10
387,(주)동성정밀엘엑스,김영국,기계금속,강원 원주시,2019-10-23
388,(주)동신냉열이엔지,황백집,기계금속,인천 계양구,2019-06-14
389,(주)동아스포츠,서정근,기계금속,경기 광주시,2019-01-10
390,(주)동아식품,문현주,식품,경기 양주시,2019-09-21
391,(주)동양목재,김창환,건설,인천 서구,2019-11-21
392,(주)동양전기정공,김학률,전기전자,부산 강서구,2019-12-25
393,(주)동언테크,권정욱,기타,울산 울주군,2019-11-09
394,(주)동우스페이스,이재복,기계금속,충남 아산시,2019-08-01
395,(주)동원가구,박홍순,기타,경기 용인시,2019-05-25
396,"(주)동원에이,에이취,이","이태용,이승걸",기계금속,경기 김포시,2019-12-14
397,(주)동원화학,유준석,화학,경기 평택시,2019-02-28
398,(주)동인,이태우,기타,충남 아산시,2019-05-23
399,(주)동일수지,위준량,기타,강원 원주시,2019-01-31
400,(주)동진에프앤씨,김동호,기타,경기 부천시,2019-01-25
401,(주)동화이엔씨,이재원,서비스,서울 영등포구,2019-11-06
402,(주)두남에스에이,정병길,기타,경남 창녕군,2019-11-08
403,(주)두두월드,임기순,기타,경기 성남시,2019-12-28
404,(주)듀켐바이오,"김종우,김영배",바이오,서울 마포구,2019-08-15
405,(주)드림솔,한석현,전기전자,경기 오산시,2019-05-22
406,(주)드림전자,김종수,전기전자,인천 연수구,2019-02-24
407,(주)디알엠인사이드,강호갑,정보통신,서울 송파구,2019-08-25
